obcina,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income"
gorenja vas - poljane,2017,11166.67,8809.5,659.02,1549.04,149.12
gorenja vas - poljane,2018,11768.33,9343.27,640.71,1649.06,135.29
gorenja vas - poljane,2019,12492.15,9852.24,670.75,1707.46,261.7
gorenja vas - poljane,2020,12649.14,9818.05,762.15,1879.83,189.12
gorenja vas - poljane,2021,13707.56,10776.6,769.41,1986.46,175.09
gorenja vas - poljane,2022,14899.4,11664.63,799.63,2160.75,274.38
gorenja vas - poljane,2023,16744.14,12911.51,931.61,2350.33,550.68
gorišnica,2014,9447.64,7220.27,581.22,1426.88,219.26
gorišnica,2015,9596.17,7470.71,550.19,1461.03,114.24
gorišnica,2016,10149.61,7875.22,570.31,1535.36,168.73
gorišnica,2017,10721.32,8382.26,629.95,1564.12,144.98
gorišnica,2018,11458.93,8980.41,631,1594.64,252.87
gorišnica,2019,12279.69,9746.25,687.76,1688.01,157.66
gorišnica,2020,12802.49,10078.49,734.84,1879.34,109.81
gorišnica,2021,13682.4,10828.84,736.72,2025.79,91.06
gorišnica,2022,15075.98,11879.7,799.89,2209.25,187.15
gorišnica,2023,16381.43,12895.68,805.84,2376.69,303.21
gorje,2014,10205.05,7327.5,503.11,2137.72,236.73
gorje,2015,10261.73,7352.66,z,2135.64,z
gorje,2016,10652.78,7718.65,z,2148.3,z
gorje,2017,11189.34,8284.44,551.3,2154.11,199.5
gorje,2018,11839.84,8786.54,529.3,2271.4,252.6
gorje,2019,12664.98,9369.71,578.32,2332.2,384.74
gorje,2020,12543.38,9092.09,665.05,2532.97,253.27
gorje,2021,13746.68,10128.32,725.04,2641.18,252.14
gorje,2022,15074.5,11012.9,z,2825.44,z
gorje,2023,16797.15,12450.73,z,2985.09,z
gornja radgona,2014,9656.65,6987.93,647.29,1802.21,219.22
gornja radgona,2015,9702.12,6969.86,667.56,1835.89,228.8
gornja radgona,2016,10197.95,7373.51,684.54,1893.49,246.42
gornja radgona,2017,9666.34,6789.67,680.79,1961.69,234.19
gornja radgona,2018,10161.22,7175.1,723.54,2062.16,200.42
gornja radgona,2019,10605.79,7447.96,796.05,2169.96,191.82
gornja radgona,2020,11517.02,8152.63,820.32,2341.79,202.28
gornja radgona,2021,11939.35,8504.17,797.29,2496.02,141.86
gornja radgona,2022,13107.65,9302.91,833.56,2735.31,235.87
gornja radgona,2023,14469.04,10442.42,853.94,2897.26,275.42
gornji grad,2014,9217.19,6224.49,658.57,2164.1,170.03
gornji grad,2015,9337.09,6332.25,681.37,2177.46,146.02
gornji grad,2016,9556.16,6497.85,679.71,2205.03,173.56
gornji grad,2017,9876.86,6828.26,693.59,2253.85,101.17
gornji grad,2018,10514.98,7310.53,701.36,2403.81,99.29
gornji grad,2019,11442.03,7986.23,z,2541.06,z
gornji grad,2020,12173.94,8544.43,704.52,2783.76,141.23
gornji grad,2021,13183.11,9150.42,z,3049.94,z
gornji grad,2022,14458.55,9940.52,z,3273.07,z
gornji grad,2023,16130.11,10904.61,1310.17,3529.51,385.81
gornji petrovci,2014,8489.86,6153.91,520.98,1694.79,120.17
gornji petrovci,2015,8480.22,6073.07,560.43,1749.39,97.33
gornji petrovci,2016,9202.94,6633.94,574.65,1875.79,118.56
gornji petrovci,2017,8765.52,6242.79,540.78,1929.95,52.01
gornji petrovci,2018,9191.32,6531,571.84,2049.61,38.87
gornji petrovci,2019,9748.73,6919.14,621.22,2141.39,66.98
gornji petrovci,2020,10722.67,7516.18,673.33,2428.41,104.75
gornji petrovci,2021,11307.55,7909.35,699.39,2607.32,91.49
gornji petrovci,2022,12216.52,8424.39,739.44,2853.97,198.71
gornji petrovci,2023,13388.03,9342.75,748.88,3102.75,193.65
grad,2014,8410.75,6347.06,577.71,1365.97,120.02
grad,2015,8310.97,6226.74,529.58,1441.16,113.48
grad,2016,8898.8,6630.43,551.26,1625.4,91.7
